geometry,address,Nombre,Acrónimo,addr,lon,lat
POINT (-68.3417132 -54.8212968),"Fuegia Basket, Belgrano, Ushuaia, Departamento Ushuaia, Tierra del Fuego, 1257, Argentina","Universidad Nacional de Tierra del Fuego, Antártida e Islas del Atlántico Sur",UNTDF,"Fuegia Basket 251, Ushuaia, Tierra del Fuego, Argentina",-68.3417132,-54.8212968
POINT (-58.528242648757 -34.6016911),"UNTREF - Sede Rectorado, 2736, 414 - General Enrique Mosconi, Sáenz Peña, Partido de Tres de Febrero, Buenos Aires, 1674, Argentina",Universidad Nacional de Tres de Febrero,UNTREF,"Mosconi 2736, Saenz Peña, Buenos Aires, Argentina",-58.528242648757,-34.6016911
POINT (-65.2112221 -26.8363916),"Rectorado Universidad Nacional de Tucumán, 491, Ayacucho, Barrio Sur, San Miguel de Tucumán, Departamento Capital, Tucumán, 4000, Argentina",Universidad Nacional de Tucumán,UNT,"Ayacucho 491, San Miguel de Tucumán, Tucumán, Argentina",-65.2112221,-26.8363916
POINT (-63.238197536734695 -32.410726697959184),"1425, Entre Ríos, Centro Sur, Villa María, Municipio de Villa María, Pedanía Villa María, Departamento General San Martín, Córdoba, X5900, Argentina",Universidad Nacional de Villa María,UNVM,"Entre Ríos 1425, Villa María, Córdoba, Argentina",-63.238197536734695,-32.410726697959184
POINT (-65.4637903 -33.6660576),"Las Heras, Teodoro Fels, Villa Mercedes, Municipio de Villa Mercedes, General Pedernera, San Luis, D5730, Argentina",Universidad Nacional de Villa Mercedes,UNViMe,"Las Heras 383, Villa Mercedes, San Luis, Argentina",-65.4637903,-33.6660576
POINT (-68.05711455 -38.9405629),"1400, Buenos Aires, Área Centro Este, Neuquén, Municipio de Neuquén, Departamento Confluencia, Neuquén, Q8300, Argentina",Universidad Nacional del Comahue,UNCOMAUNCo,"Buenos Aires 1400, Neuquén, Neuquén, Argentina",-68.05711455,-38.9405629
POINT (-58.83947812373421 -27.4641899),"Rectorado UNNE, 868, 25 de Mayo, Barrio Deportes, Seccional 1°, Corrientes, Departamento Capital, Corrientes, 3400, Argentina",Universidad Nacional del Nordeste,UNNE,"25 de Mayo 868, Corrientes, Corrientes, Argentina",-58.83947812373421,-27.4641899
POINT (-58.69986172040816 -34.665394869387754),"369, General Manuel Belgrano, San Antonio de Padua, Partido de Merlo, Buenos Aires, 1718, Argentina",Universidad Nacional del Oeste,UNO,"Belgrano 369, San Antonio de Padua, Buenos Aires, Argentina",-58.69986172040816,-34.665394869387754
POINT (-62.269364406233876 -38.701417199999995),"Universidad Nacional del Sur, 1253, Avenida Alem, Centro Norte, Bahía Blanca, Partido de Bahía Blanca, Buenos Aires, B8000, Argentina",Universidad Nacional del Sur,UNS,"Av. Alem 1253, Bahía Blanca, Buenos Aires, Argentina",-62.269364406233876,-38.701417199999995
POINT (-58.37299140707417 -34.604629),"Rectorado Universidad Tecnológica Nacional, 440, Sarmiento, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1041, Argentina",Universidad Tecnológica Nacional,UTN,"Sarmiento 440, Buenos Aires, Ciudad de Buenos Aires, Argentina",-58.37299140707417,-34.604629
